Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,info_map_load_time_sec,info_map_load_time_nanosec,info_resolution,info_width,info_height,info_origin_position_x,info_origin_position_y,info_origin_position_z,info_origin_orientation_x,info_origin_orientation_y,info_origin_orientation_z,info_origin_orientation_w,data
1765492324.9052842,18,636000000,map,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492326.915929,20,358000000,map,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492328.9051561,22,305000000,map,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492330.9043312,24,267000000,map,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492332.9057047,26,226000000,map,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0,<array len=313876>
1765492334.9063208,28,173000000,map,0,0,0.05000000074505806,600,526,-15.000769120454997,-9.180860015881393,0.0,0.0,0.0,0.0,1.0,<array len=315600>
1765492336.90886,30,123000000,map,0,0,0.05000000074505806,600,690,-15.000769120454997,-17.393014077038835,0.0,0.0,0.0,0.0,1.0,<array len=414000>
1765492338.9075658,32,73000000,map,0,0,0.05000000074505806,600,713,-15.007605136642795,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492340.9120667,34,20000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492342.906469,35,970000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492344.9072983,37,917000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492346.906105,39,867000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492348.9097059,41,805000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492350.9077077,43,746000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492352.907248,45,693000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492354.9109654,47,646000000,map,0,0,0.05000000074505806,600,713,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=427800>
1765492356.9103837,49,602000000,map,0,0,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492358.909039,51,528000000,map,0,0,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492360.914783,53,496000000,map,0,0,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492362.9085896,55,449000000,map,0,0,0.05000000074505806,600,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522000>
1765492366.9240332,59,355000000,map,0,0,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492368.9125466,61,311000000,map,0,0,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492370.9104466,63,261000000,map,0,0,0.05000000074505806,601,870,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=522870>
1765492375.9352837,67,152000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492376.9120438,69,99000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492378.914722,71,37000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492380.9112728,72,987000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492382.9116983,74,937000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492384.9147582,76,863000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492386.9245555,78,813000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492388.9128962,80,772000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492390.9135008,82,716000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
1765492392.9133246,84,648000000,map,0,0,0.05000000074505806,601,871,-15.009100547816411,-18.556704979635548,0.0,0.0,0.0,0.0,1.0,<array len=523471>
