Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,info_map_load_time_sec,info_map_load_time_nanosec,info_resolution,info_width,info_height,info_origin_position_x,info_origin_position_y,info_origin_position_z,info_origin_orientation_x,info_origin_orientation_y,info_origin_orientation_z,info_origin_orientation_w,data
1765492323.5845513,17,349000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492324.1821609,17,931000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492324.7853339,18,519000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492325.3893907,19,83000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492326.1850867,19,680000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492326.7823606,20,247000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492327.388123,20,823000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492327.9857564,21,405000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492328.5824919,21,987000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492329.1823745,22,575000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492329.7836795,23,166000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492330.3838127,23,757000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492330.983588,24,345000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492331.5823286,24,936000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492332.1826036,25,524000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492332.7969735,26,121000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492333.3956835,26,700000000,odom,0,0,0.05999999865889549,83,83,-2.459999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492333.993207,27,282000000,odom,0,0,0.05999999865889549,83,83,-2.399999999329448,-2.459999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492334.5945735,27,867000000,odom,0,0,0.05999999865889549,83,83,-2.2799999993294477,-2.399999999329448,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492335.1934795,28,449000000,odom,0,0,0.05999999865889549,83,83,-2.1599999993294476,-2.2799999993294477,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492335.7932644,29,31000000,odom,0,0,0.05999999865889549,83,83,-1.9799999993294473,-2.0399999993294475,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492336.3949924,29,622000000,odom,0,0,0.05999999865889549,83,83,-1.799999999329447,-1.799999999329447,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492337.0004032,30,213000000,odom,0,0,0.05999999865889549,83,83,-1.619999999329447,-1.5599999993294469,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492337.5932639,30,786000000,odom,0,0,0.05999999865889549,83,83,-1.4399999993294468,-1.3199999993294467,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492338.193624,31,377000000,odom,0,0,0.05999999865889549,83,83,-1.3199999993294467,-1.1399999993294465,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492338.7958,31,965000000,odom,0,0,0.05999999865889549,83,83,-1.1399999993294465,-0.8399999993294464,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492339.3954422,32,550000000,odom,0,0,0.05999999865889549,83,83,-0.9599999993294464,-0.6599999993294463,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492339.994921,33,135000000,odom,0,0,0.05999999865889549,83,83,-0.7799999993294462,-0.4199999993294463,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492340.593608,33,720000000,odom,0,0,0.05999999865889549,83,83,-0.599999999329446,-0.17999999932944635,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492341.1960437,34,305000000,odom,0,0,0.05999999865889549,83,83,-0.419999999329446,0.06000000067055364,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492341.79448,34,887000000,odom,0,0,0.05999999865889549,83,83,-0.23999999932944602,0.30000000067055366,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492342.3945189,35,475000000,odom,0,0,0.05999999865889549,83,83,-0.059999999329446024,0.5400000006705536,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492342.9984193,36,63000000,odom,0,0,0.05999999865889549,83,83,0.12000000067055397,0.7200000006705538,0.0,0.0,0.0,0.0,1.0,<array len=6889>
1765492343.5919387,36,633000000,odom,0,0,0.05999999865889549,83,83,0.300000000670554,0.9600000006705538,0.0,0.0,0.0,0.0,1.0,<array len=6889>
