Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,pose_pose_position_x,pose_pose_position_y,pose_pose_position_z,pose_pose_orientation_x,pose_pose_orientation_y,pose_pose_orientation_z,pose_pose_orientation_w,pose_covariance
1765492330.0916097,23,427000000,map,-0.019999999999999914,-1.821459649775648e-16,0.0,0.0,0.0,0.0,1.0,<array len=36>
1765492330.6234288,23,952000000,map,-0.009999999999999903,-1.9081971788272032e-16,0.0,0.0,0.0,0.0,1.0,<array len=36>
1765492331.149514,24,477000000,map,-0.019999999999999914,-1.9949319973733287e-16,0.0,0.0,0.0,0.0,1.0,<array len=36>
1765492331.6839607,25,2000000,map,-0.009999999999999903,-2.081669526424884e-16,0.0,0.0,0.0,0.0,1.0,<array len=36>
1765492332.2320604,25,527000000,map,-0.019999999999999914,-2.1684043449710094e-16,0.0,0.0,0.0,0.0,1.0,<array len=36>
1765492332.825984,26,52000000,map,-0.005390448912519109,6.4323280888328405e-06,0.0,0.0,0.0,-0.00067195621709195,0.9999997742373956,<array len=36>
1765492333.328544,26,577000000,map,0.010566711752543183,0.0007158896205329211,0.0,0.0,0.0,0.03943327374681277,0.9992222059790349,<array len=36>
1765492333.8349006,27,102000000,map,0.03491166534845662,0.009298462795585154,0.0,0.0,0.0,0.12598261504565011,0.9920324494220234,<array len=36>
1765492334.3948278,27,627000000,map,0.057344167061195446,0.012016857325409677,0.0,0.0,0.0,0.19137790481420136,0.9815164275491911,<array len=36>
1765492334.9397633,28,152000000,map,0.17120476145839553,0.07032372591754622,0.0,0.0,0.0,0.25499567669262047,0.9669421931367317,<array len=36>
1765492335.4645588,28,677000000,map,0.34925831693217735,0.1979350534837571,0.0,0.0,0.0,0.3165995979267432,0.9485592731045459,<array len=36>
1765492336.0143943,29,202000000,map,0.5501016109895164,0.3552461176894962,0.0,0.0,0.0,0.36109555380178265,0.9325288204793372,<array len=36>
1765492336.5622067,29,727000000,map,0.740684216011847,0.5355859960322651,0.0,0.0,0.0,0.3717611896578002,0.9283283997940692,<array len=36>
1765492337.0882363,30,252000000,map,0.9353212968479685,0.7115244025316122,0.0,0.0,0.0,0.3509292349266194,0.936401982096267,<array len=36>
1765492337.632736,30,777000000,map,1.134339824051575,0.8823200141139506,0.0,0.0,0.0,0.3456617609073745,0.9383591780583878,<array len=36>
1765492338.1645393,31,302000000,map,1.3425170315032824,1.0542359028477353,0.0,0.0,0.0,0.350944463148702,0.9363962749740461,<array len=36>
1765492338.7200594,31,827000000,map,1.5416519702050313,1.2351779981212831,0.0,0.0,0.0,0.3431925927756468,0.9392650553831592,<array len=36>
1765492339.2444155,32,352000000,map,1.7443029814540019,1.4121375667890255,0.0,0.0,0.0,0.3361760711308128,0.9417991554461337,<array len=36>
1765492339.8747742,32,877000000,map,1.9480561300764496,1.5681804237248729,0.0,0.0,0.0,0.3324465120349505,0.9431221112007689,<array len=36>
1765492340.3577201,33,402000000,map,2.162116858531243,1.7418757759557781,0.0,0.0,0.0,0.3304080488014932,0.9438381859657884,<array len=36>
1765492340.875496,33,927000000,map,2.3671098852350316,1.9058401236054332,0.0,0.0,0.0,0.3338679357320084,0.9426198605429696,<array len=36>
1765492341.4089148,34,452000000,map,2.569135005663378,2.0832792754265026,0.0,0.0,0.0,0.34300543653258275,0.9393334181796644,<array len=36>
1765492341.9414089,34,977000000,map,2.770873952483966,2.2410630482686753,0.0,0.0,0.0,0.3373886544694761,0.9413654422355202,<array len=36>
