Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,poses
1765492332.4995203,25,812000000,map,<array len=793>
1765492333.5505915,26,835000000,map,<array len=826>
1765492334.9329476,28,179000000,map,<array len=602>
1765492335.967208,29,190000000,map,<array len=573>
1765492337.008902,30,204000000,map,<array len=544>
1765492338.038162,31,209000000,map,<array len=490>
1765492339.062841,32,217000000,map,<array len=469>
1765492340.0831614,33,213000000,map,<array len=448>
1765492341.1133912,34,212000000,map,<array len=428>
1765492342.1520085,35,226000000,map,<array len=407>
1765492343.1836412,36,228000000,map,<array len=387>
1765492344.2237535,37,242000000,map,<array len=363>
1765492345.2547946,38,241000000,map,<array len=343>
1765492346.2939339,39,258000000,map,<array len=322>
1765492347.333037,40,278000000,map,<array len=302>
1765492347.6658638,40,278000000,map,<array len=302>
1765492347.7158637,40,278000000,map,<array len=302>
1765492347.7658637,40,278000000,map,<array len=302>
1765492347.8158636,40,278000000,map,<array len=302>
1765492347.8658636,40,278000000,map,<array len=302>
1765492347.9158635,40,278000000,map,<array len=302>
1765492347.9658635,40,278000000,map,<array len=302>
1765492348.0158632,40,278000000,map,<array len=302>
1765492348.0658634,40,278000000,map,<array len=302>
1765492348.1158633,40,278000000,map,<array len=302>
1765492348.1658633,40,278000000,map,<array len=302>
1765492348.2158632,40,278000000,map,<array len=302>
1765492348.2658632,40,278000000,map,<array len=302>
1765492348.3158631,40,278000000,map,<array len=302>
1765492348.365863,40,278000000,map,<array len=302>
1765492348.415863,40,278000000,map,<array len=302>
1765492348.465863,40,278000000,map,<array len=302>
1765492348.515863,40,278000000,map,<array len=302>
1765492348.565863,40,278000000,map,<array len=302>
1765492348.6158628,40,278000000,map,<array len=302>
1765492348.6658628,40,278000000,map,<array len=302>
1765492348.7158628,40,278000000,map,<array len=302>
1765492348.7658627,40,278000000,map,<array len=302>
1765492348.8158624,40,278000000,map,<array len=302>
1765492348.8658626,40,278000000,map,<array len=302>
1765492348.9158626,40,278000000,map,<array len=302>
1765492348.9658625,40,278000000,map,<array len=302>
1765492349.0158625,40,278000000,map,<array len=302>
1765492349.0658624,40,278000000,map,<array len=302>
1765492349.1158624,40,278000000,map,<array len=302>
1765492349.1658623,40,278000000,map,<array len=302>
1765492349.2158623,40,278000000,map,<array len=302>
1765492349.2658622,40,278000000,map,<array len=302>
1765492349.3158622,40,278000000,map,<array len=302>
1765492349.3658621,40,278000000,map,<array len=302>
1765492349.415862,40,278000000,map,<array len=302>
1765492349.465862,40,278000000,map,<array len=302>
1765492349.515862,40,278000000,map,<array len=302>
1765492349.565862,40,278000000,map,<array len=302>
1765492349.6158621,40,278000000,map,<array len=302>
1765492349.6658618,40,278000000,map,<array len=302>
1765492349.7158618,40,278000000,map,<array len=302>
1765492349.7658617,40,278000000,map,<array len=302>
1765492349.8158617,40,278000000,map,<array len=302>
1765492349.8658617,40,278000000,map,<array len=302>
1765492349.9158616,40,278000000,map,<array len=302>
1765492349.9658616,40,278000000,map,<array len=302>
1765492350.0158615,40,278000000,map,<array len=302>
1765492350.0658615,40,278000000,map,<array len=302>
1765492350.1158614,40,278000000,map,<array len=302>
1765492350.1658614,40,278000000,map,<array len=302>
1765492350.2158613,40,278000000,map,<array len=302>
1765492350.2658613,40,278000000,map,<array len=302>
1765492350.3158612,40,278000000,map,<array len=302>
1765492350.3658612,40,278000000,map,<array len=302>
1765492350.4158611,40,278000000,map,<array len=302>
1765492350.465861,40,278000000,map,<array len=302>
1765492350.515861,40,278000000,map,<array len=302>
1765492350.5658607,40,278000000,map,<array len=302>
1765492350.615861,40,278000000,map,<array len=302>
1765492350.665861,40,278000000,map,<array len=302>
1765492350.7158608,40,278000000,map,<array len=302>
1765492350.7658608,40,278000000,map,<array len=302>
1765492350.8158607,40,278000000,map,<array len=302>
1765492350.8658607,40,278000000,map,<array len=302>
1765492350.9158607,40,278000000,map,<array len=302>
1765492350.9658606,40,278000000,map,<array len=302>
1765492351.0158606,40,278000000,map,<array len=302>
1765492351.0658605,40,278000000,map,<array len=302>
1765492351.1158605,40,278000000,map,<array len=302>
1765492351.1658604,40,278000000,map,<array len=302>
1765492351.2158604,40,278000000,map,<array len=302>
1765492351.2658603,40,278000000,map,<array len=302>
1765492351.3158603,40,278000000,map,<array len=302>
1765492351.36586,40,278000000,map,<array len=302>
1765492351.4158602,40,278000000,map,<array len=302>
1765492351.4658601,40,278000000,map,<array len=302>
