Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,child_frame_id,pose_pose_position_x,pose_pose_position_y,pose_pose_position_z,pose_pose_orientation_x,pose_pose_orientation_y,pose_pose_orientation_z,pose_pose_orientation_w,pose_covariance,twist_twist_linear_x,twist_twist_linear_y,twist_twist_linear_z,twist_twist_angular_x,twist_twist_angular_y,twist_twist_angular_z,twist_covariance
1765492307.507421,2,370000000,odom,base_link,-1.6892849024691456e-19,5.301188366838615e-38,0.0,0.0,0.0,-2.185241974483901e-19,1.0,<array len=36>,-4.628379420456837e-19,0.0,0.0,0.0,0.0,7.276833427701852e-19,<array len=36>
1765492307.528797,2,391000000,odom,base_link,-1.3392279793749047e-19,3.7847814676094344e-38,0.0,0.0,0.0,-2.1466446393424423e-19,1.0,<array len=36>,-2.8737086529571346e-20,0.0,0.0,0.0,0.0,5.855832257986582e-19,<array len=36>
1765492307.5500064,2,412000000,odom,base_link,-1.5205552368787436e-19,4.562771013841817e-38,0.0,0.0,0.0,-2.1438826478521576e-19,1.0,<array len=36>,-2.701579051590573e-19,0.0,0.0,0.0,0.0,3.9218675473144845e-19,<array len=36>
1765492307.570956,2,433000000,odom,base_link,-1.299152208570308e-19,3.59891546849194e-38,0.0,0.0,0.0,-2.209515554123355e-19,1.0,<array len=36>,-5.84839537781543e-20,0.0,0.0,0.0,0.0,1.8630954209867953e-20,<array len=36>
1765492307.5924006,2,454000000,odom,base_link,-1.2472453161359103e-19,3.3718563995390733e-38,0.0,0.0,0.0,-2.1648374133526687e-19,1.0,<array len=36>,1.7748786387847074e-19,0.0,0.0,0.0,0.0,3.7053184562513725e-20,<array len=36>
1765492307.612924,2,475000000,odom,base_link,-1.4127506455147844e-19,4.091053300070605e-38,0.0,0.0,0.0,-2.1806232629325616e-19,1.0,<array len=36>,2.633659590041538e-19,0.0,0.0,0.0,0.0,8.797545812072809e-21,<array len=36>
1765492307.6386683,2,496000000,odom,base_link,-1.459843146740748e-19,4.2942286823797963e-38,0.0,0.0,0.0,-2.1337660139142025e-19,1.0,<array len=36>,-1.1487158796747136e-19,0.0,0.0,0.0,0.0,2.4530715101407054e-20,<array len=36>
1765492307.6592147,2,517000000,odom,base_link,-1.5412578283909738e-19,4.6387110101007865e-38,0.0,0.0,0.0,-2.0974404557119719e-19,1.0,<array len=36>,-1.971675382117262e-20,0.0,0.0,0.0,0.0,8.846131836225668e-20,<array len=36>
1765492307.6806836,2,538000000,odom,base_link,-1.5413720261691118e-19,4.639188188934429e-38,0.0,0.0,0.0,-2.081089472133076e-19,1.0,<array len=36>,-2.3068554057029115e-19,0.0,0.0,0.0,0.0,2.4462110855291127e-19,<array len=36>
1765492307.7023957,2,559000000,odom,base_link,-1.4649482246680334e-19,4.324930655542558e-38,0.0,0.0,0.0,-2.0309479719534533e-19,1.0,<array len=36>,-2.0733610336392896e-19,0.0,0.0,0.0,0.0,2.550275074270757e-19,<array len=36>
1765492307.7235284,2,580000000,odom,base_link,-1.2038738012551506e-19,3.258323432781716e-38,0.0,0.0,0.0,-2.054504784458574e-19,1.0,<array len=36>,1.9893032786631733e-19,0.0,0.0,0.0,0.0,2.402256732837848e-19,<array len=36>
