Timestamp,map_load_time_sec,map_load_time_nanosec,resolution,width,height,origin_position_x,origin_position_y,origin_position_z,origin_orientation_x,origin_orientation_y,origin_orientation_z,origin_orientation_w
1765492307.2325187,0,0,0.05000000074505806,599,524,-14.963109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492307.7271702,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492308.2308598,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492308.7295547,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492309.2321658,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492309.729179,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492310.2321396,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492310.7345462,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492311.2361226,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492311.7364213,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492312.2400947,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492312.7399688,0,0,0.05000000074505806,599,524,-14.973109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492313.24408,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492313.7425816,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492314.2448647,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492314.7486804,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492315.2470891,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492315.7551048,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492316.2506332,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
1765492316.7559097,0,0,0.05000000074505806,599,524,-14.983109099512765,-9.077854593036472,0.0,0.0,0.0,0.0,1.0
