Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,child_frame_id,pose_pose_position_x,pose_pose_position_y,pose_pose_position_z,pose_pose_orientation_x,pose_pose_orientation_y,pose_pose_orientation_z,pose_pose_orientation_w,pose_covariance,twist_twist_linear_x,twist_twist_linear_y,twist_twist_linear_z,twist_twist_angular_x,twist_twist_angular_y,twist_twist_angular_z,twist_covariance
1765492307.5278919,2,370000000,odom,base_link,-1.6123510305983145e-19,4.76050685120919e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-4.3215270251451305e-19,4.854071784497593e-41,0.0,0.0,0.0,-3.5926794248278366e-20,<array len=36>
1765492307.5465264,2,391000000,odom,base_link,-1.465414950833597e-19,4.1486966618023365e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-2.2663214968042595e-19,4.9961778770509945e-43,0.0,0.0,0.0,7.898213329626548e-20,<array len=36>
1765492307.5670505,2,412000000,odom,base_link,-1.5187859906422458e-19,4.4078790867176053e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-2.487155481932778e-19,1.0432812078613294e-41,0.0,0.0,0.0,1.3689064471664263e-19,<array len=36>
1765492307.588011,2,433000000,odom,base_link,-1.396110846933661e-19,3.9012223925080963e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-1.515569680112308e-19,-1.4304365243887447e-41,0.0,0.0,0.0,1.1502528216096686e-19,<array len=36>
1765492307.6059327,2,454000000,odom,base_link,-1.3067706930376014e-19,3.5696516347545333e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,1.6588058698690884e-20,-1.974637165351292e-41,0.0,0.0,0.0,1.0060867892774113e-19,<array len=36>
1765492307.6307907,2,475000000,odom,base_link,-1.3658541816705335e-19,3.896245966992743e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,1.4305326514009355e-19,3.0168410562189643e-42,0.0,0.0,0.0,8.36332176114604e-20,<array len=36>
1765492307.6527386,2,496000000,odom,base_link,-1.4197339545766567e-19,4.145524190908097e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,1.2271633142323898e-20,1.1258178293120866e-41,0.0,0.0,0.0,7.270539158368372e-20,<array len=36>
1765492307.6706111,2,517000000,odom,base_link,-1.495652035863754e-19,4.454462492521251e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-3.5146616303183566e-21,1.7647367038615392e-41,0.0,0.0,0.0,7.561860941893863e-20,<array len=36>
1765492307.6918468,2,538000000,odom,base_link,-1.530063429419627e-19,4.5701843727816355e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-1.1894261520309158e-19,1.3338983721092253e-41,0.0,0.0,0.0,1.0686665542474235e-19,<array len=36>
1765492307.7131376,2,559000000,odom,base_link,-1.500745134181784e-19,4.416528032739026e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-1.63780833682534e-19,7.969568630784384e-43,0.0,0.0,0.0,1.3426117516054682e-19,<array len=36>
